GEO_ID,NAME,POP
1600000US0171040,"Slocomb city, Alabama",1995
1600000US0171190,"Smiths Station city, Alabama",5443
1600000US0171201,"Smoke Rise CDP, Alabama",1469
1600000US0171280,"Snead town, Alabama",1490
1600000US0171496,"Somerville town, Alabama",692
1600000US0171832,"Southside city, Alabama",9407
1600000US0171900,"South Vinemont town, Alabama",872
1600000US0171976,"Spanish Fort city, Alabama",10377
1600000US0172408,"Spring Garden CDP, Alabama",171
1600000US0172600,"Springville city, Alabama",4949
1600000US0172672,"Spruce Pine CDP, Alabama",197
1600000US0172720,"Standing Rock CDP, Alabama",27
1600000US0172816,"Stapleton CDP, Alabama",2606
1600000US0172888,"Steele town, Alabama",1293
1600000US0173056,"Sterrett CDP, Alabama",895
1600000US0173080,"Stevenson city, Alabama",1947
1600000US0173152,"Stewartville CDP, Alabama",1557
1600000US0173272,"Stockton CDP, Alabama",390
1600000US0173728,"Sulligent city, Alabama",1440
1600000US0173848,"Sumiton city, Alabama",2506
1600000US0173872,"Summerdale town, Alabama",1589
1600000US0174160,"Susan Moore town, Alabama",1323
1600000US0174304,"Sweet Water town, Alabama",157
1600000US0174352,"Sylacauga city, Alabama",12388
1600000US0174400,"Sylvania town, Alabama",2005
1600000US0174424,"Sylvan Springs town, Alabama",1559
1600000US0174592,"Talladega city, Alabama",15041
1600000US0174616,"Talladega Springs town, Alabama",220
1600000US0174688,"Tallassee city, Alabama",5056
1600000US0174976,"Tarrant city, Alabama",6014
1600000US0175096,"Taylor town, Alabama",2916
1600000US0175768,"Theodore CDP, Alabama",4950
1600000US0175936,"Thomaston town, Alabama",421
1600000US0175960,"Thomasville city, Alabama",3668
1600000US0176080,"Thorsby town, Alabama",2601
1600000US0176200,"Tibbie CDP, Alabama",39
1600000US0176208,"Tidmore Bend CDP, Alabama",1086
1600000US0176320,"Tillmans Corner CDP, Alabama",17678
1600000US0176584,"Town Creek town, Alabama",1015
1600000US0176632,"Toxey town, Alabama",241
1600000US0176680,"Trafford town, Alabama",560
1600000US0176824,"Triana town, Alabama",3510
1600000US0176872,"Trinity town, Alabama",2533
1600000US0176920,"Troy city, Alabama",17733
1600000US0176944,"Trussville city, Alabama",26182
1600000US0177256,"Tuscaloosa city, Alabama",107699
1600000US0177280,"Tuscumbia city, Alabama",9084
1600000US0177304,"Tuskegee city, Alabama",9070
1600000US0177352,"Twin town, Alabama",366
1600000US0177580,"Underwood-Petersville CDP, Alabama",3049
1600000US0177616,"Union town, Alabama",172
